,CLASS,DIVORCE,HAPPY,RELIG16
341,MIDDLE CLASS,NO,PRETTY HAPPY,NONE
342,UPPER CLASS,NO,VERY HAPPY,PROTESTANT
343,UPPER CLASS,NO,VERY HAPPY,PROTESTANT
344,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
347,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
349,LOWER CLASS,NO,PRETTY HAPPY,PROTESTANT
350,WORKING CLASS,YES,VERY HAPPY,PROTESTANT
351,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
352,UPPER CLASS,NO,PRETTY HAPPY,PROTESTANT
353,MIDDLE CLASS,NO,PRETTY HAPPY,NONE
354,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
355,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
357,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
360,MIDDLE CLASS,YES,PRETTY HAPPY,CATHOLIC
361,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
362,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
368,UPPER CLASS,NO,PRETTY HAPPY,PROTESTANT
369,UPPER CLASS,NO,VERY HAPPY,PROTESTANT
371,UPPER CLASS,NO,PRETTY HAPPY,CATHOLIC
373,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
375,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
377,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
378,UPPER CLASS,NO,PRETTY HAPPY,PROTESTANT
379,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
380,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
381,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
382,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
383,MIDDLE CLASS,NO,NOT TOO HAPPY,HINDUISM
384,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
388,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
389,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
394,MIDDLE CLASS,NO,NOT TOO HAPPY,PROTESTANT
395,UPPER CLASS,NO,VERY HAPPY,CATHOLIC
397,MIDDLE CLASS,NO,NOT TOO HAPPY,CATHOLIC
399,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
403,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
405,MIDDLE CLASS,YES,PRETTY HAPPY,CATHOLIC
407,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
409,WORKING CLASS,YES,VERY HAPPY,CATHOLIC
410,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
412,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
413,UPPER CLASS,NO,PRETTY HAPPY,PROTESTANT
415,UPPER CLASS,NO,VERY HAPPY,NONE
418,WORKING CLASS,YES,PRETTY HAPPY,CATHOLIC
420,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
421,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
424,WORKING CLASS,YES,VERY HAPPY,CATHOLIC
425,MIDDLE CLASS,YES,VERY HAPPY,CATHOLIC
426,UPPER CLASS,NO,PRETTY HAPPY,PROTESTANT
427,UPPER CLASS,NO,PRETTY HAPPY,NONE
429,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
431,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
432,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
434,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
435,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
436,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
437,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
438,UPPER CLASS,YES,VERY HAPPY,CATHOLIC
440,WORKING CLASS,NO,VERY HAPPY,HINDUISM
441,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
443,WORKING CLASS,NO,VERY HAPPY,NONE
444,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
448,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
451,LOWER CLASS,NO,PRETTY HAPPY,NONE
452,MIDDLE CLASS,YES,VERY HAPPY,CATHOLIC
457,WORKING CLASS,NO,VERY HAPPY,NONE
458,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
459,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
460,MIDDLE CLASS,NO,PRETTY HAPPY,NONE
462,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
464,UPPER CLASS,NO,VERY HAPPY,PROTESTANT
466,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
467,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
468,UPPER CLASS,NO,PRETTY HAPPY,CATHOLIC
472,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
473,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
475,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
476,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
477,MIDDLE CLASS,NO,NOT TOO HAPPY,MOSLEM/ISLAM
478,MIDDLE CLASS,NO,NOT TOO HAPPY,PROTESTANT
481,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
482,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
484,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
487,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
488,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
490,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
491,UPPER CLASS,NO,VERY HAPPY,PROTESTANT
493,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
498,UPPER CLASS,YES,VERY HAPPY,CATHOLIC
499,MIDDLE CLASS,YES,NOT TOO HAPPY,PROTESTANT
500,MIDDLE CLASS,NO,PRETTY HAPPY,ORTHODOX-CHRISTIAN
501,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
502,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
503,WORKING CLASS,NO,VERY HAPPY,NONE
504,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
505,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
506,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
507,WORKING CLASS,NO,VERY HAPPY,MOSLEM/ISLAM
508,MIDDLE CLASS,YES,PRETTY HAPPY,ORTHODOX-CHRISTIAN
509,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
510,MIDDLE CLASS,NO,NOT TOO HAPPY,BUDDHISM
511,UPPER CLASS,YES,VERY HAPPY,PROTESTANT
512,MIDDLE CLASS,NO,PRETTY HAPPY,MOSLEM/ISLAM
513,MIDDLE CLASS,NO,PRETTY HAPPY,JEWISH
514,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
515,UPPER CLASS,YES,PRETTY HAPPY,PROTESTANT
516,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
517,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
518,UPPER CLASS,YES,PRETTY HAPPY,PROTESTANT
519,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
520,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
521,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
522,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
524,MIDDLE CLASS,NO,PRETTY HAPPY,NONE
526,WORKING CLASS,YES,VERY HAPPY,NONE
527,LOWER CLASS,NO,PRETTY HAPPY,PROTESTANT
528,MIDDLE CLASS,NO,PRETTY HAPPY,NONE
533,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
534,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
535,WORKING CLASS,NO,VERY HAPPY,NONE
536,WORKING CLASS,NO,NOT TOO HAPPY,CATHOLIC
537,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
538,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
539,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
541,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
543,WORKING CLASS,YES,PRETTY HAPPY,CATHOLIC
545,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
546,WORKING CLASS,YES,VERY HAPPY,PROTESTANT
548,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
550,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
552,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
554,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
555,MIDDLE CLASS,YES,VERY HAPPY,CATHOLIC
556,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
557,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
558,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
560,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
561,MIDDLE CLASS,YES,VERY HAPPY,CATHOLIC
563,WORKING CLASS,NO,VERY HAPPY,HINDUISM
565,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
566,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
568,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
572,MIDDLE CLASS,NO,NOT TOO HAPPY,PROTESTANT
584,WORKING CLASS,NO,PRETTY HAPPY,NONE
586,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
587,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
589,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
593,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
594,MIDDLE CLASS,YES,NOT TOO HAPPY,PROTESTANT
595,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
597,WORKING CLASS,YES,VERY HAPPY,PROTESTANT
598,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
600,LOWER CLASS,NO,PRETTY HAPPY,PROTESTANT
601,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
602,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
606,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
607,WORKING CLASS,YES,VERY HAPPY,PROTESTANT
608,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
610,LOWER CLASS,NO,NOT TOO HAPPY,CATHOLIC
613,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
615,LOWER CLASS,NO,PRETTY HAPPY,CATHOLIC
617,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
618,WORKING CLASS,NO,PRETTY HAPPY,MOSLEM/ISLAM
619,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
620,UPPER CLASS,YES,PRETTY HAPPY,PROTESTANT
623,LOWER CLASS,NO,VERY HAPPY,PROTESTANT
624,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
626,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
636,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
637,LOWER CLASS,NO,VERY HAPPY,PROTESTANT
639,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
640,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
642,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
643,WORKING CLASS,YES,VERY HAPPY,CATHOLIC
646,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
647,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
655,MIDDLE CLASS,NO,VERY HAPPY,JEWISH
656,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
657,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
662,WORKING CLASS,YES,PRETTY HAPPY,CATHOLIC
663,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
664,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
665,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
668,MIDDLE CLASS,YES,PRETTY HAPPY,CATHOLIC
670,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
671,UPPER CLASS,NO,VERY HAPPY,PROTESTANT
674,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
677,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
678,LOWER CLASS,NO,NOT TOO HAPPY,PROTESTANT
680,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
681,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
682,MIDDLE CLASS,NO,PRETTY HAPPY,MOSLEM/ISLAM
683,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
684,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
686,WORKING CLASS,NO,NOT TOO HAPPY,CATHOLIC
687,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
689,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
690,LOWER CLASS,NO,PRETTY HAPPY,PROTESTANT
693,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
694,LOWER CLASS,NO,VERY HAPPY,NONE
699,MIDDLE CLASS,NO,NOT TOO HAPPY,PROTESTANT
700,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
704,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
706,UPPER CLASS,YES,VERY HAPPY,JEWISH
709,MIDDLE CLASS,YES,PRETTY HAPPY,JEWISH
714,MIDDLE CLASS,NO,NOT TOO HAPPY,CATHOLIC
715,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
717,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
718,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
719,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
722,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
725,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
730,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
732,MIDDLE CLASS,NO,VERY HAPPY,NONE
733,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
735,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
736,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
738,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
740,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
742,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
743,WORKING CLASS,NO,NOT TOO HAPPY,CATHOLIC
745,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
746,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
750,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
756,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
757,WORKING CLASS,NO,VERY HAPPY,NONE
758,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
759,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
760,UPPER CLASS,YES,VERY HAPPY,CATHOLIC
761,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
763,MIDDLE CLASS,NO,PRETTY HAPPY,BUDDHISM
764,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
766,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
773,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
774,WORKING CLASS,NO,PRETTY HAPPY,NONE
776,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
778,MIDDLE CLASS,NO,PRETTY HAPPY,NONE
780,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
781,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
782,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
785,WORKING CLASS,YES,VERY HAPPY,NONE
786,WORKING CLASS,NO,VERY HAPPY,NONE
788,MIDDLE CLASS,NO,PRETTY HAPPY,NONE
791,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
793,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
794,WORKING CLASS,NO,NOT TOO HAPPY,PROTESTANT
795,WORKING CLASS,NO,NOT TOO HAPPY,PROTESTANT
797,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
798,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
800,LOWER CLASS,YES,VERY HAPPY,CATHOLIC
801,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
803,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
804,WORKING CLASS,YES,PRETTY HAPPY,CATHOLIC
805,LOWER CLASS,NO,NOT TOO HAPPY,PROTESTANT
806,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
807,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
812,LOWER CLASS,NO,PRETTY HAPPY,PROTESTANT
813,WORKING CLASS,NO,VERY HAPPY,OTHER
821,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
823,LOWER CLASS,YES,PRETTY HAPPY,CATHOLIC
824,MIDDLE CLASS,NO,PRETTY HAPPY,NONE
