,CLASS,DIVORCE,HAPPY,RELIG16
1665,LOWER CLASS,NO,NOT TOO HAPPY,PROTESTANT
1666,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
1667,LOWER CLASS,NO,PRETTY HAPPY,PROTESTANT
1668,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
1669,WORKING CLASS,NO,VERY HAPPY,ORTHODOX-CHRISTIAN
1672,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
1674,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
1676,WORKING CLASS,NO,VERY HAPPY,NONE
1677,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
1679,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
1680,MIDDLE CLASS,NO,VERY HAPPY,ORTHODOX-CHRISTIAN
1681,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
1682,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
1683,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
1685,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
1689,MIDDLE CLASS,YES,NOT TOO HAPPY,ORTHODOX-CHRISTIAN
1691,WORKING CLASS,YES,VERY HAPPY,CATHOLIC
1692,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
1698,WORKING CLASS,NO,VERY HAPPY,NONE
1699,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
1700,LOWER CLASS,NO,NOT TOO HAPPY,PROTESTANT
1705,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
1708,MIDDLE CLASS,NO,PRETTY HAPPY,JEWISH
1710,LOWER CLASS,NO,NOT TOO HAPPY,PROTESTANT
1719,WORKING CLASS,NO,PRETTY HAPPY,NONE
1720,WORKING CLASS,YES,PRETTY HAPPY,CATHOLIC
1722,MIDDLE CLASS,NO,NOT TOO HAPPY,NONE
1724,LOWER CLASS,NO,PRETTY HAPPY,PROTESTANT
1731,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
1732,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
1733,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
1734,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
1735,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
1736,MIDDLE CLASS,YES,PRETTY HAPPY,NONE
1737,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
1742,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
1743,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
1744,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
1747,MIDDLE CLASS,NO,VERY HAPPY,NONE
1749,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
1751,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
1752,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
1753,WORKING CLASS,YES,PRETTY HAPPY,CATHOLIC
1754,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
1755,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
1756,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
1759,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
1760,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
1761,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
1762,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
1763,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
1764,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
1765,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
1766,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
1768,MIDDLE CLASS,YES,VERY HAPPY,CATHOLIC
1771,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
1774,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
1775,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
1776,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
1777,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
1780,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
1783,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
1784,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
1785,WORKING CLASS,YES,VERY HAPPY,CHRISTIAN
1786,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
1787,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
1789,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
1790,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
1792,MIDDLE CLASS,YES,PRETTY HAPPY,CATHOLIC
1795,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
1797,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
1798,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
1801,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
1802,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
1803,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
1804,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
1805,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
1806,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
1808,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
1809,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
1810,MIDDLE CLASS,YES,VERY HAPPY,CATHOLIC
1811,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
1812,WORKING CLASS,NO,VERY HAPPY,NONE
1815,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
1820,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
1822,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
1823,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
1824,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
1825,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
1826,MIDDLE CLASS,NO,PRETTY HAPPY,NONE
1827,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
1830,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
1836,WORKING CLASS,YES,VERY HAPPY,PROTESTANT
1837,MIDDLE CLASS,YES,VERY HAPPY,CATHOLIC
1844,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
1846,MIDDLE CLASS,YES,NOT TOO HAPPY,CATHOLIC
1848,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
1849,LOWER CLASS,NO,PRETTY HAPPY,CATHOLIC
1850,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
1853,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
1855,UPPER CLASS,NO,VERY HAPPY,PROTESTANT
1856,MIDDLE CLASS,NO,NOT TOO HAPPY,PROTESTANT
1857,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
1858,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
1862,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
1864,WORKING CLASS,YES,PRETTY HAPPY,NONE
1865,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
1867,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
1871,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
1873,WORKING CLASS,YES,VERY HAPPY,CATHOLIC
1874,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
1875,WORKING CLASS,NO,PRETTY HAPPY,NONE
1882,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
1884,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
1886,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
1888,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
1889,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
1900,WORKING CLASS,YES,PRETTY HAPPY,CATHOLIC
1902,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
1903,WORKING CLASS,NO,NOT TOO HAPPY,CATHOLIC
1904,MIDDLE CLASS,NO,NOT TOO HAPPY,PROTESTANT
1905,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
1908,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
1909,WORKING CLASS,YES,VERY HAPPY,PROTESTANT
1910,MIDDLE CLASS,NO,NOT TOO HAPPY,CATHOLIC
1911,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
1915,MIDDLE CLASS,NO,PRETTY HAPPY,JEWISH
1916,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
1920,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
1930,MIDDLE CLASS,YES,VERY HAPPY,CATHOLIC
1931,MIDDLE CLASS,NO,PRETTY HAPPY,JEWISH
1935,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
1936,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
1937,MIDDLE CLASS,NO,NOT TOO HAPPY,CATHOLIC
1938,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
1939,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
1940,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
1942,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
1943,MIDDLE CLASS,NO,VERY HAPPY,NONE
1944,MIDDLE CLASS,NO,NOT TOO HAPPY,PROTESTANT
1945,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
1948,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
1958,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
1959,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
1961,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
1962,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
1964,WORKING CLASS,YES,PRETTY HAPPY,CATHOLIC
1965,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
1966,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
1973,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
1974,WORKING CLASS,NO,PRETTY HAPPY,NONE
1975,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
1979,WORKING CLASS,NO,VERY HAPPY,NONE
1985,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
1991,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
1995,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
1996,WORKING CLASS,YES,PRETTY HAPPY,CATHOLIC
1997,MIDDLE CLASS,NO,NOT TOO HAPPY,CATHOLIC
2000,LOWER CLASS,YES,PRETTY HAPPY,CATHOLIC
2002,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
2003,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
2004,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2005,MIDDLE CLASS,YES,PRETTY HAPPY,CATHOLIC
2011,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
2013,LOWER CLASS,NO,PRETTY HAPPY,PROTESTANT
2014,LOWER CLASS,YES,PRETTY HAPPY,CATHOLIC
2017,MIDDLE CLASS,YES,VERY HAPPY,CATHOLIC
2018,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
2019,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
2021,MIDDLE CLASS,YES,VERY HAPPY,CATHOLIC
2024,UPPER CLASS,NO,VERY HAPPY,NONE
2029,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2030,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2032,WORKING CLASS,NO,PRETTY HAPPY,NONE
2033,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
2034,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
2040,MIDDLE CLASS,YES,VERY HAPPY,CATHOLIC
2041,UPPER CLASS,NO,NOT TOO HAPPY,PROTESTANT
2045,MIDDLE CLASS,NO,NOT TOO HAPPY,PROTESTANT
2046,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
2047,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
2048,WORKING CLASS,YES,VERY HAPPY,CATHOLIC
2050,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2051,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
2052,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
2053,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
2057,LOWER CLASS,NO,VERY HAPPY,NONE
2058,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2063,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
2064,MIDDLE CLASS,YES,VERY HAPPY,CATHOLIC
2066,MIDDLE CLASS,YES,VERY HAPPY,CATHOLIC
2068,MIDDLE CLASS,NO,NOT TOO HAPPY,PROTESTANT
2072,WORKING CLASS,YES,VERY HAPPY,NONE
2075,WORKING CLASS,YES,VERY HAPPY,PROTESTANT
2077,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2078,MIDDLE CLASS,NO,PRETTY HAPPY,NONE
2079,LOWER CLASS,NO,VERY HAPPY,NONE
2080,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2081,MIDDLE CLASS,YES,PRETTY HAPPY,CATHOLIC
2082,MIDDLE CLASS,NO,VERY HAPPY,NONE
2083,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
2084,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
2085,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2086,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
2087,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
2089,LOWER CLASS,NO,PRETTY HAPPY,PROTESTANT
2091,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
2092,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
2093,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
2094,WORKING CLASS,NO,NOT TOO HAPPY,CATHOLIC
2095,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2096,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2099,MIDDLE CLASS,NO,PRETTY HAPPY,NONE
2100,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
2101,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
2103,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2104,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
2105,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2106,MIDDLE CLASS,YES,VERY HAPPY,NONE
2107,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
2108,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
2109,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
2111,LOWER CLASS,NO,PRETTY HAPPY,PROTESTANT
2113,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
2114,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
2116,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
2118,WORKING CLASS,NO,NOT TOO HAPPY,PROTESTANT
2119,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
2121,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
2122,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
2123,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
2124,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
2127,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
2128,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
2129,WORKING CLASS,YES,VERY HAPPY,PROTESTANT
2130,MIDDLE CLASS,YES,PRETTY HAPPY,CATHOLIC
2132,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
2133,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
2134,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
2135,LOWER CLASS,YES,PRETTY HAPPY,PROTESTANT
2136,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
2137,UPPER CLASS,NO,VERY HAPPY,PROTESTANT
2138,LOWER CLASS,YES,VERY HAPPY,PROTESTANT
2139,LOWER CLASS,NO,VERY HAPPY,PROTESTANT
2140,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2141,WORKING CLASS,YES,PRETTY HAPPY,CATHOLIC
2142,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
2143,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2144,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
2145,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
2147,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
2149,LOWER CLASS,NO,PRETTY HAPPY,PROTESTANT
2151,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
2153,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
2160,WORKING CLASS,NO,VERY HAPPY,NONE
2162,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
2163,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
2165,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
2168,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
2170,MIDDLE CLASS,NO,VERY HAPPY,NONE
2171,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
2173,WORKING CLASS,NO,PRETTY HAPPY,NONE
2177,MIDDLE CLASS,NO,NOT TOO HAPPY,PROTESTANT
2178,LOWER CLASS,NO,PRETTY HAPPY,PROTESTANT
2179,WORKING CLASS,YES,VERY HAPPY,PROTESTANT
2180,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
2182,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
2183,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
2185,LOWER CLASS,YES,VERY HAPPY,CATHOLIC
2187,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
2188,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
2189,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
2190,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
2191,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
2196,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
2202,LOWER CLASS,NO,VERY HAPPY,PROTESTANT
2204,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2205,MIDDLE CLASS,YES,NOT TOO HAPPY,CATHOLIC
2206,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
2208,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
2210,WORKING CLASS,NO,PRETTY HAPPY,NONE
2211,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
2215,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
2216,MIDDLE CLASS,NO,NOT TOO HAPPY,PROTESTANT
2218,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
2222,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
2224,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
2226,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
2229,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2230,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
2236,WORKING CLASS,YES,NOT TOO HAPPY,PROTESTANT
2237,WORKING CLASS,YES,NOT TOO HAPPY,PROTESTANT
2239,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
2240,LOWER CLASS,YES,NOT TOO HAPPY,PROTESTANT
2241,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2245,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
2247,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
2248,WORKING CLASS,NO,PRETTY HAPPY,NONE
2250,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2251,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
2254,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
2257,WORKING CLASS,YES,VERY HAPPY,PROTESTANT
2259,LOWER CLASS,NO,VERY HAPPY,NONE
2265,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
2266,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
2267,LOWER CLASS,NO,PRETTY HAPPY,PROTESTANT
2270,LOWER CLASS,NO,NOT TOO HAPPY,PROTESTANT
2271,WORKING CLASS,YES,VERY HAPPY,PROTESTANT
2272,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2273,WORKING CLASS,YES,NOT TOO HAPPY,PROTESTANT
2274,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
2275,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
2279,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
2280,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
2283,WORKING CLASS,YES,VERY HAPPY,PROTESTANT
2284,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
2285,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
2287,WORKING CLASS,YES,NOT TOO HAPPY,PROTESTANT
2293,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
2299,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
2300,LOWER CLASS,YES,VERY HAPPY,PROTESTANT
2301,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2305,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2306,LOWER CLASS,YES,PRETTY HAPPY,PROTESTANT
2310,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
2312,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
2315,UPPER CLASS,YES,VERY HAPPY,PROTESTANT
2316,MIDDLE CLASS,NO,VERY HAPPY,NONE
2317,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
2319,LOWER CLASS,YES,PRETTY HAPPY,NONE
2321,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
2322,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
2323,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
2324,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
2325,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
2328,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
2330,MIDDLE CLASS,NO,PRETTY HAPPY,CHRISTIAN
2332,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
2333,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
2334,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
2335,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
2337,MIDDLE CLASS,YES,PRETTY HAPPY,NONE
2339,WORKING CLASS,YES,PRETTY HAPPY,OTHER
2344,WORKING CLASS,NO,PRETTY HAPPY,NONE
2345,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
2346,MIDDLE CLASS,YES,VERY HAPPY,PROTESTANT
2347,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
